ID: 219 VCC: 26.51 V: -0 -0  -0 C: 0 0.0244379  0 O: -0 -0  -0 HERR: 0  0  0
ID: 220 VCC: 26.43 V: -0 -0  -0 C: 0 0  0.0244379 O: -0 -0  -0 HERR: 0  0  0
ID: 221 VCC: 26.51 V: -0 -0  -0 C: 0 0.0244379  0.00488759 O: -0 -0  -0 HERR: 0  0  0
ID: 222 VCC: 26.51 V: -0 -0  -0 C: 0 0  0.0244379 O: -0 -0  -0 HERR: 0  0  0
ID: 223 VCC: 26.47 V: -0 -0  -0 C: 0.00488759 0.0146628  0.00977517 O: -0 -0  -0 HERR: 0  0  0
ID: 224 VCC: 26.63 V: -0 -0  -0 C: 0 0.00977517  0.00977517 O: -0 -0  -0 HERR: 0  0  0
ID: 225 VCC: 26.35 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 226 VCC: 26.59 V: -0 -0  -0 C: 0.00488759 0.00977517  0 O: -0 -0  -0 HERR: 0  0  0
ID: 227 VCC: 26.63 V: -0 -0  -0 C: 0.00488759 0.0146628  0.00977517 O: -0 -0  -0 HERR: 0  0  0
ID: 228 VCC: 26.43 V: -0 -0  -0 C: 0 0.0195503  0 O: -0 -0  -0 HERR: 0  0  0
ID: 229 VCC: 26.47 V: -0 -0  -0 C: 0.0146628 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 230 VCC: 26.55 V: -0 -0  -0 C: 0 0.00977517  0 O: -0 -0  -0 HERR: 0  0  0
ID: 231 VCC: 26.51 V: -0 -0  -0 C: 0 0.0195503  0 O: -0 -0  -0 HERR: 0  0  0
ID: 232 VCC: 26.59 V: -0 -0  -0 C: 0 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 233 VCC: 26.59 V: -0 -0  -0 C: 0.00488759 0.00977517  0 O: -0 -0  -0 HERR: 0  0  0
ID: 234 VCC: 26.59 V: -0 -0  -0 C: 0.00488759 0.00977517  0 O: -0 -0  -0 HERR: 0  0  0
ID: 235 VCC: 26.59 V: -0 -0  -0 C: 0 0.0244379  0.00977517 O: -0 -0  -0 HERR: 0  0  0
ID: 236 VCC: 26.59 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
